"DENMARK";"0";"18"
"DENMARK";"1";"78"
"ENGLAND & WALES";"0";"84"
"ENGLAND & WALES";"1";"27"
"ESTONIA";"0";"102"
"ESTONIA";"1";"46"
"FINLAND";"0";"8"
"FINLAND";"1";"109"
"FRANCE";"0";"58"
"FRANCE";"1";"56"
"GERMANY";"0";"31"
"GERMANY";"1";"97"
"GREECE";"0";"103"
"GREECE";"1";"24"
"HUNGARY";"0";"64"
"HUNGARY";"1";"38"
"ITALY";"0";"89"
"ITALY";"1";"45"
"LATVIA";"0";"18"
"LATVIA";"1";"13"
"LITHUANIA";"0";"13"
"LITHUANIA";"1";"108"
"POLAND";"0";"47"
"POLAND";"1";"115"
"SLOVAKIA";"0";"1"
"SLOVAKIA";"1";"15"
"SWEDEN";"0";"13"
"SWEDEN";"1";"86"
